Code no,Code Name
2905,Crops
2907,Crops
2908,Crops
2909,Crops
2911,Crops
2912,Crops
2913,Crops
2914,Crops
2918,Crops
2919,Crops
2922,Crops
2923,Crops
2924,Crops
2928,Crops
2544,Crops
2590,Crops
2591,Crops
2592,Crops
2593,Crops
2594,Crops
2595,Crops
2596,Crops
2597,Crops
2598,Crops
2600,Crops
2659,Crops
2661,Crops
2662,Crops
2663,Crops
2664,Crops
2665,Crops
2666,Crops
2667,Crops
2671,Crops
2672,Crops
2740,Meat
2741,Meat
2743,Meat
2949,Meat
2737,Meat
2748,Meat
2745,Meat
2943,Meat
2749,Meat
2948,Meat
2945,Meat
2747,Meat
2742,Meat
2746,Meat
2961,Fish
2855,Fish
2781,Fish
2782,Fish
2960,Fish
