Code in Source,Variable
3433,AgFishCalPerCapPerDayAqAnimalsFAO
3439,AgFishCalPerCapPerDayAqPlantsFAO
3445,AgFishCalPerCapPerDayBodyOilFAO
3430,AgFishCalPerCapPerDayCephalopodsFAO
3429,AgFishCalPerCapPerDayCrustaceansFAO
3426,AgFishCalPerCapPerDayDemersalFAO
3425,AgFishCalPerCapPerDayFreshwaterFAO
3446,AgFishCalPerCapPerDayLiverOilFAO
3428,AgFishCalPerCapPerDayMarineFAO
3431,AgFishCalPerCapPerDayMolluscsFAO
3427,AgFishCalPerCapPerDayPelagicFAO
8070,AgFishDomesticSupplyAqAnimalsFAO
8076,AgFishDomesticSupplyAqPlantsFAO
8082,AgFishDomesticSupplyBodyOilFAO
8067,AgFishDomesticSupplyCephalopodsFAO
8066,AgFishDomesticSupplyCrustaceansFAO
8063,AgFishDomesticSupplyDemersalFAO
8062,AgFishDomesticSupplyFreshwaterFAO
8083,AgFishDomesticSupplyLiverOilFAO
8065,AgFishDomesticSupplyMarineFAO
8068,AgFishDomesticSupplyMolluscsFAO
8064,AgFishDomesticSupplyPelagicFAO
8680,AgFishExportsAqAnimalsFAO
8686,AgFishExportsAqPlantsFAO
8692,AgFishExportsBodyOilFAO
8677,AgFishExportsCephalopodsFAO
8676,AgFishExportsCrustaceansFAO
8673,AgFishExportsDemersalFAO
8672,AgFishExportsFreshwaterFAO
8693,AgFishExportsLiverOilFAO
8675,AgFishExportsMarineFAO
8678,AgFishExportsMolluscsFAO
8674,AgFishExportsPelagicFAO
3453,AgFishFatPerCapPerDayAqAnimalsFAO
3459,AgFishFatPerCapPerDayAqPlantsFAO
3465,AgFishFatPerCapPerDayBodyOilFAO
3450,AgFishFatPerCapPerDayCephalopodsFAO
3449,AgFishFatPerCapPerDayCrustaceansFAO
3446,AgFishFatPerCapPerDayDemersalFAO
3445,AgFishFatPerCapPerDayFreshwaterFAO
3466,AgFishFatPerCapPerDayLiverOilFAO
3448,AgFishFatPerCapPerDayMarineFAO
3451,AgFishFatPerCapPerDayMolluscsFAO
3447,AgFishFatPerCapPerDayPelagicFAO
3414,AgFishFoodSupplyPerCapPerDayAqAnimalsFAO
3420,AgFishFoodSupplyPerCapPerDayAqPlantsFAO
3426,AgFishFoodSupplyPerCapPerDayBodyOilFAO
3411,AgFishFoodSupplyPerCapPerDayCephalopodsFAO
3410,AgFishFoodSupplyPerCapPerDayCrustaceansFAO
3407,AgFishFoodSupplyPerCapPerDayDemersalFAO
3406,AgFishFoodSupplyPerCapPerDayFreshwaterFAO
3427,AgFishFoodSupplyPerCapPerDayLiverOilFAO
3409,AgFishFoodSupplyPerCapPerDayMarineFAO
3412,AgFishFoodSupplyPerCapPerDayMolluscsFAO
3408,AgFishFoodSupplyPerCapPerDayPelagicFAO
8380,AgFishImportsAqAnimalsFAO
8386,AgFishImportsAqPlantsFAO
8392,AgFishImportsBodyOilFAO
8377,AgFishImportsCephalopodsFAO
8376,AgFishImportsCrustaceansFAO
8373,AgFishImportsDemersalFAO
8372,AgFishImportsFreshwaterFAO
8393,AgFishImportsLiverOilFAO
8375,AgFishImportsMarineFAO
8378,AgFishImportsMolluscsFAO
8374,AgFishImportsPelagicFAO
8280,AgFishProdAqAnimalsFAO
8286,AgFishProdAqPlantsFAO
8292,AgFishProdBodyOilFAO
8277,AgFishProdCephalopodsFAO
8276,AgFishProdCrustaceansFAO
8273,AgFishProdDemersalFAO
8272,AgFishProdFreshwaterFAO
8293,AgFishProdLiverOilFAO
8275,AgFishProdMarineFAO
8278,AgFishProdMolluscsFAO
8274,AgFishProdPelagicFAO
3443,AgFishProteinPerCapPerDayAqAnimalsFAO
3449,AgFishProteinPerCapPerDayAqPlantsFAO
3455,AgFishProteinPerCapPerDayBodyOilFAO
3440,AgFishProteinPerCapPerDayCephalopodsFAO
3439,AgFishProteinPerCapPerDayCrustaceansFAO
7841,AgFishStockVarAqAnimalsFAO
7853,AgFishStockVarBodyOilFAO
7838,AgFishStockVarCephalopodsFAO
7837,AgFishStockVarCrustaceansFAO
7834,AgFishStockVarDemersalFAO
7833,AgFishStockVarFreshwaterFAO
7854,AgFishStockVarLiverOilFAO
7836,AgFishStockVarMarineFAO
7839,AgFishStockVarMolluscsFAO
7835,AgFishStockVarPelagicFAO
8302,AgFishtoFeedBodyOilFAO
8287,AgFishtoFeedCephalopodsFAO
8286,AgFishtoFeedCrustaceansFAO
8283,AgFishtoFeedDemersalFAO
8282,AgFishtoFeedFreshwaterFAO
8303,AgFishtoFeedLiverOilFAO
8285,AgFishtoFeedMarineFAO
8284,AgFishtoFeedPelagicFAO
7911,AgFishtoFoodAqAnimalsFAO
7917,AgFishtoFoodAqPlantsFAO
7923,AgFishtoFoodBodyOilFAO
7908,AgFishtoFoodCephalopodsFAO
7907,AgFishtoFoodCrustaceansFAO
